CCLEName,S100A9,S100A8,CDKN2A,PITX1,KRT5,KRT6A,SERPINB5,CDC20
HELA_CERVIX,0.22754574581,0.140289456493,0.156701108855,-0.151176567867,0.0408947857197,0.0746052678282,-0.300543742195,-0.0660065205565
ME180_CERVIX,-0.0814464491193,,0.722603811538,-0.457749958542,,,-0.249910268776,0.213541086731
SIHA_CERVIX,-0.0018211167287,-0.114549971783,0.551908109299,0.706711264542,0.201645814621,0.0147374948508,-0.214546992015,-0.260118861333
