gene,drug,n,rho,p,pathway,target
CDKN2A,Talazoparib,1353,0.08308144872379432,0.002224766892478045,Genome integrity,"PARP1, PARP2"
SERPINB5,Omipalisib,673,0.11768455316706612,0.0022285058004438254,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
SERPINB5,Etoposide,651,0.11796643676016198,0.0025729616525556197,DNA replication,TOP2
CDC20,Alpelisib,704,0.11330664535865857,0.002606260962934255,PI3K/MTOR signaling,PI3Kalpha
KRT5,AZD8055,1244,0.08528150359907877,0.002609268998934674,PI3K/MTOR signaling,"MTORC1, MTORC2"
PITX1,Niraparib,654,0.11732721241705205,0.002654903843900208,Genome integrity,"PARP1, PARP2"
KRT6A,5-Fluorouracil,1375,0.07987342323644837,0.003038376794065507,Other,Antimetabolite (DNA & RNA)
KRT6A,PHA-793887,672,0.11333933482082033,0.003259875471703401,Cell cycle,"CDK2, CDK7, CDK5"
KRT6A,VE-822,651,0.11447750943097416,0.0034460355992004046,Genome integrity,ATR
S100A9,Alpelisib,704,-0.11004542850300425,0.0034608679702138774,PI3K/MTOR signaling,PI3Kalpha
CDC20,Etoposide,651,-0.11406728613185796,0.003564680035953601,DNA replication,TOP2
PITX1,Palbociclib,1346,0.07857203508458975,0.0039213196395236245,Cell cycle,"CDK4, CDK6"
KRT5,VE-822,651,0.11056399124315089,0.004739154382856366,Genome integrity,ATR
S100A9,AZ20,673,0.10801288543024044,0.005030123790908284,Genome integrity,ATR
PITX1,Flavopiridol,662,0.10800919376264514,0.0054042060429438125,Cell cycle,CDK
CDC20,Talazoparib,1353,-0.0753494128671255,0.005554730404426758,Genome integrity,"PARP1, PARP2"
KRT6A,MK-1775,705,0.10334821666945232,0.006022142277386233,Cell cycle,"WEE1, PLK1"
CDKN2A,Mitomycin-C,645,0.10749594961777113,0.006282036242158784,DNA replication,DNA crosslinker
CDC20,Bleomycin,1179,-0.07900488772888242,0.006645157673218548,DNA replication,dsDNA break induction
KRT6A,Voxtalisib,674,0.10397783218172857,0.006897822641725861,PI3K/MTOR signaling,"PI3K (class 1), DNAPK, MTOR"
S100A9,VE821,691,0.1024044541708179,0.0070577822179297995,Genome integrity,ATR
CDC20,Oxaliplatin,1250,0.07611965604033223,0.0070929000632818096,DNA replication,DNA alkylating agent
CDKN2A,AZD8055,1244,0.07614294394957974,0.007214179708882179,PI3K/MTOR signaling,"MTORC1, MTORC2"
S100A9,Temsirolimus,1342,0.07263905237974357,0.007766702493781688,PI3K/MTOR signaling,MTOR
S100A9,Veliparib,1370,0.07186126534435809,0.007794356932552705,Genome integrity,"PARP1, PARP2"
CDKN2A,AZD7762,2049,0.05853990598197513,0.008036878681447363,Cell cycle,"CHEK1, CHEK2"
KRT6A,Dinaciclib,650,0.10372260768580986,0.008133686568755292,Cell cycle,"CDK1, CDK2, CDK5, CDK9"
PITX1,Cisplatin,1931,0.05981426264920367,0.008561648103804559,DNA replication,DNA crosslinker
PITX1,Ribociclib,698,0.0992740098761168,0.008675752565571316,Cell cycle,"CDK4, CDK6"
CDC20,Ribociclib,698,0.09832949578846342,0.00933649561590112,Cell cycle,"CDK4, CDK6"
SERPINB5,Bleomycin,1179,0.07538934011015913,0.00961010988284611,DNA replication,dsDNA break induction
S100A8,Seliciclib,250,0.16307682872401771,0.009798448671837753,Cell cycle,"CDK2, CDK7, CDK9"
