gene,drug,n,rho,p,pathway,target
CDKN2A,Palbociclib,1346,0.24094062474298267,3.1379051278772314e-19,Cell cycle,"CDK4, CDK6"
SERPINB5,Oxaliplatin,1250,0.2436678156606177,2.3648364489095454e-18,DNA replication,DNA alkylating agent
SERPINB5,Olaparib,2032,0.19076683730004002,4.178870952842884e-18,Genome integrity,"PARP1, PARP2"
SERPINB5,Niraparib,654,0.3294153760785082,5.115281311041559e-18,Genome integrity,"PARP1, PARP2"
SERPINB5,Ribociclib,698,0.29854862213910344,7.761346241449474e-16,Cell cycle,"CDK4, CDK6"
SERPINB5,Cisplatin,1931,0.17839711596957145,2.841256820348569e-15,DNA replication,DNA crosslinker
SERPINB5,AZD8055,1244,0.21338298668307926,2.820503170195009e-14,PI3K/MTOR signaling,"MTORC1, MTORC2"
SERPINB5,Talazoparib,1353,0.18493768724690732,7.105339454184328e-12,Genome integrity,"PARP1, PARP2"
SERPINB5,AZD7762,2049,0.14767260552335035,1.8510968076972328e-11,Cell cycle,"CHEK1, CHEK2"
SERPINB5,Rucaparib,1363,0.18039708492211987,1.9589169583620476e-11,Genome integrity,"PARP1, PARP2"
SERPINB5,Veliparib,1370,0.17629556362866922,5.0014931266288135e-11,Genome integrity,"PARP1, PARP2"
SERPINB5,Palbociclib,1346,0.17384576189320483,1.353303427840081e-10,Cell cycle,"CDK4, CDK6"
SERPINB5,Voxtalisib,674,0.24031247536379174,2.6132772716944537e-10,PI3K/MTOR signaling,"PI3K (class 1), DNAPK, MTOR"
KRT6A,Oxaliplatin,1250,0.17310168608769896,7.25121316424969e-10,DNA replication,DNA alkylating agent
SERPINB5,Dactolisib,1367,0.16486411406236715,8.68120725895863e-10,PI3K/MTOR signaling,"PI3K (class 1), MTORC1, MTORC2"
SERPINB5,Rapamycin,921,0.19605758835770573,1.9707850240331107e-09,PI3K/MTOR signaling,MTORC1
SERPINB5,Temsirolimus,1342,0.1558381514377472,9.54384230815892e-09,PI3K/MTOR signaling,MTOR
SERPINB5,VE821,691,0.20919252868948435,2.8470778332809124e-08,Genome integrity,ATR
S100A9,Palbociclib,1346,0.14445689532936273,1.0216304154270737e-07,Cell cycle,"CDK4, CDK6"
SERPINB5,VE-822,651,0.2037024206824347,1.5843079675762242e-07,Genome integrity,ATR
