,mean,min,median,max,n_lines,n_dep_lt_neg1,n_dep_lt_neg0_5,pct_dep_lt_neg0_5
S100A9,-0.03745917574408257,-0.587179328175,-0.036757808037599995,0.428961740342,708,0,6,0.8
S100A8,-0.010925924016740954,-0.872506495158,0.00126553996939,0.563632920312,547,0,8,1.5
CDKN2A,0.056989142587611626,-0.727790157265,0.01205948604455,1.91569458446,710,0,2,0.3
PITX1,-0.030762805287201125,-0.637958522335,-0.03780312077815,0.883626270033,710,0,6,0.8
KRT5,0.0390098676635994,-0.38771549579,0.0365671832344,0.437295818746,547,0,0,0.0
KRT6A,-0.05392377391325098,-0.574293908588,-0.0433611497039,0.37428536521,547,0,3,0.5
SERPINB5,-0.08860893331006976,-0.565610268455,-0.08639387161315,0.528795133578,670,0,6,0.9
CDC20,-0.15842713330268962,-1.31721489794,-0.14449434289899998,0.618993689392,710,3,41,5.8
