Gene,Level_II_status,CRISPR_best_cerv,CRISPR_n_cerv_dep,CRISPR_n_cerv_strong,CRISPR_pan_pct_dep,CRISPR_pan_n_strong,CRISPR_tier,RNAi_best_cerv,RNAi_n_cerv_dep,RNAi_pan_n_dep,RNAi_tier,GDSC_n_significant,GDSC_top_drug,GDSC_top_pathway,GDSC_top_target,GDSC_top_rho,GDSC_top_p,GDSC_top5,LINCS_top_reverser,LINCS_top_reverser_zsum,LINCS_top_HELA_reversers,scRNA_top_celltype,scRNA_top_tissue,scRNA_compartment,scRNA_top_n_cells,scRNA_top_mean_expr,scRNA_top3_celltypes,CIL_Level_III_A_status
S100A9,Full Level II,-0.270510894790025,0,0,0.3,0,Not dependent,-0.0814464491193,0,6,Not dependent,17,Palbociclib,Cell cycle,"CDK4, CDK6",0.1444568953293627,1.0216304154270737e-07,Palbociclib | Oxaliplatin | Rucaparib | Talazoparib | Dactolisib,aprepitant,-9.15,MG-132; climbazole; meglitinide,immature neutrophil,blood,Myeloid/inflammatory,1121,6.238811782169938,immature neutrophil | myelocyte | mature neutrophil,Moderate Level III-A
S100A8,Full Level II,-0.1933986753130374,0,0,0.0,0,Not dependent,-0.114549971783,0,8,Not dependent,3,Alpelisib,PI3K/MTOR signaling,PI3Kalpha,-0.1321869330971319,0.0004372348796665,Alpelisib | Palbociclib | Seliciclib,aprepitant,-9.15,MG-132; climbazole; meglitinide,immature neutrophil,blood,Myeloid/inflammatory,1125,7.210333333333334,immature neutrophil | myelocyte | mature neutrophil,Moderate Level III-A
CDKN2A,Partial Level II (eQTL + coloc),-0.0810690421287299,0,0,0.2,0,Not dependent,0.156701108855,0,2,Not dependent,9,Palbociclib,Cell cycle,"CDK4, CDK6",0.2409406247429826,3.137905127877232e-19,Palbociclib | AZ20 | Bleomycin | AZD6738 | Dactolisib,aprepitant,-9.15,MG-132; climbazole; meglitinide,secretory cell,urinary bladder,Squamous/basal epithelial,204,2.2409591674804688,secretory cell | fallopian tube secretory epithelial cell | glandular epithelial cell,Moderate Level III-A
PITX1,Partial Level II (eQTL + coloc),-0.3296255602061047,0,0,1.0,1,Not dependent,-0.457749958542,0,6,Not dependent,8,GSK1059615,PI3K/MTOR signaling,PI3K,0.1522573777304294,8.28456757841392e-05,GSK1059615 | VE821 | Docetaxel | Niraparib | Palbociclib,aprepitant,-9.15,MG-132; climbazole; meglitinide,squamous epithelial cell,saliva,Squamous/basal epithelial,2271,2.8560393789905327,squamous epithelial cell | epithelial cell | keratinizing barrier epithelial cell,Moderate Level III-A
KRT5,Full Level II,-0.2071104986239995,0,0,0.2,0,Not dependent,0.0408947857197,0,0,Not dependent,7,Oxaliplatin,DNA replication,DNA alkylating agent,0.1219223147243004,1.5432233237149508e-05,Oxaliplatin | Ribociclib | Palbociclib | Seliciclib | Niraparib,aprepitant,-9.15,MG-132; climbazole; meglitinide,hair follicular keratinocyte,skin of body,Squamous/basal epithelial,3342,3.717354701993567,hair follicular keratinocyte | stem cell of epidermis | stem cell,Moderate Level III-A
KRT6A,Partial Level II (eQTL + coloc),-0.5493634533382079,1,0,5.8,2,Dependency,0.0147374948508,0,3,Not dependent,16,Oxaliplatin,DNA replication,DNA alkylating agent,0.1731016860876989,7.25121316424969e-10,Oxaliplatin | Ribociclib | AZD8055 | Olaparib | Palbociclib,aprepitant,-9.15,MG-132; climbazole; meglitinide,stratified epithelial cell,esophagus,Squamous/basal epithelial,47654,3.9181266263062913,stratified epithelial cell | stem cell | squamous epithelial cell,Strong Level III-A
SERPINB5,Partial Level II (eQTL/GWAS only),-0.1476161013198105,0,0,0.0,0,Not dependent,-0.300543742195,0,6,Not dependent,40,Oxaliplatin,DNA replication,DNA alkylating agent,0.2436678156606177,2.3648364489095454e-18,Oxaliplatin | Olaparib | Niraparib | Ribociclib | Cisplatin,aprepitant,-9.15,MG-132; climbazole; meglitinide,granular cell of epidermis,skin of body,Squamous/basal epithelial,168,1.966701870872861,granular cell of epidermis | stem cell | respiratory hillock cell,Moderate Level III-A
CDC20,Partial Level II (eQTL + coloc),-2.7353799329625224,18,18,100.0,1208,Strong dependency,-0.260118861333,0,41,Not dependent,9,Cisplatin,DNA replication,DNA crosslinker,-0.0996736429728802,1.1436196301909618e-05,Cisplatin | AZD7762 | Olaparib | Alpelisib | Etoposide,aprepitant,-9.15,MG-132; climbazole; meglitinide,migratory enteric neural crest cell,small intestine,Progenitor / cycling,154,2.189723027216924,migratory enteric neural crest cell | large pre-B-II cell | fraction A pre-pro B cell,Strong Level III-A
