,mean,min,median,max,n_lines,n_strong_dep_lt_neg1,n_dep_lt_neg0_5,pct_dep_lt_neg0_5
S100A9,-0.02863376427366977,-0.603013159806935,-0.02414704969092565,0.5881227824966824,1208,0,4,0.3
S100A8,0.02247284921384871,-0.4080694935960995,0.03052992929125785,0.3753245083463439,1208,0,0,0.0
CDKN2A,0.1596920379123879,-0.5658188127013198,0.15377047744492317,1.7884131448649612,1208,0,3,0.2
PITX1,-0.06729374635277224,-1.7600228189841562,-0.05995209948854389,0.5804915147501838,1208,1,12,1.0
KRT5,-0.05136790382598394,-0.7371075207545865,-0.04755393147407651,0.46509811403868223,1208,0,2,0.2
KRT6A,-0.18749171263261896,-1.3018074078652266,-0.179144500595943,0.5516844887872934,1165,2,68,5.8
SERPINB5,0.012371699275441626,-0.4998998011656463,0.021428205884405842,0.44503558045157576,1208,0,0,0.0
CDC20,-2.1227526640628724,-4.26611829058332,-2.086917848403691,-1.015850812663262,1208,1208,1208,100.0
